test_index,true_class,bp_positive_probability,dfa_positive_probability,bp_prediction,dfa_prediction,bp_correct,dfa_correct,bp_raw_cam_min,bp_raw_cam_max,dfa_raw_cam_min,dfa_raw_cam_max,excluded,exclusion_reason,image_iou_top10,image_iou_top20,image_spearman,image_bp_constant,image_dfa_constant,image_bp_finite,image_dfa_finite,image_valid,native_iou_top10,native_iou_top20,native_spearman,native_bp_constant,native_dfa_constant,native_bp_finite,native_dfa_finite,native_valid
10,1,0.9950226545,0.4104087651,1,0,True,False,-0.004107106477,0.009949529544,-0.0007729892386,0.0007272922667,False,,0.0733410943,0.1927554981,0.1245267086,False,False,True,True,True,0.07692307692,0.1760204082,0.1167100322,False,False,True,True,True
11,0,0.0003001572913,0.3128724098,0,0,True,True,-0.007945435122,0.0008307011449,-0.01502788439,0.01343807206,False,,0.1068427371,0.1719097553,-0.02373689246,False,False,True,True,True,0.1052631579,0.2527173913,-0.00222486531,False,False,True,True,True
12,1,0.9999879599,0.7144593596,1,1,True,True,-0.004407834262,0.01998755708,-0.003565263934,0.004137355834,False,,0.1068427371,0.195849546,0.2004045983,False,False,True,True,True,0.08450704225,0.1805377721,0.159223051,False,False,True,True,True
13,1,1,0.6713958979,1,1,True,True,-0.007747333497,0.02091349289,-0.004617535975,0.007312096655,False,,0.1663504111,0.2199801522,0.1535524112,False,False,True,True,True,0.155,0.2147562582,0.157768341,False,False,True,True,True
14,0,0.01684293151,0.3656608462,0,0,True,True,-0.007390829735,0.004872703925,-0.002887129784,0.004362090025,False,,0.1108433735,0.165981663,0.1158513674,False,False,True,True,True,0.1026252983,0.156838143,0.1000457049,False,False,True,True,True
15,1,0.3075763285,0.3911286294,0,0,False,False,-0.007024699822,0.004900690168,-0.004623481072,0.003121865448,False,,0.06466512702,0.09241706161,-0.1276432139,False,False,True,True,True,0.06451612903,0.08983451537,-0.07228024997,False,False,True,True,True
16,0,0.08775169402,0.4354162812,0,0,True,True,-0.008830528706,0.008709903806,-0.002219165443,0.003571919631,False,,0.01766004415,0.06251800634,-0.201083448,False,False,True,True,True,0.02212389381,0.06466512702,-0.1479576225,False,False,True,True,True
17,1,0.9999697208,0.7550084591,1,1,True,True,-0.004686699715,0.01680035889,-0.005728224758,0.00778153725,False,,0.161209068,0.2859135286,0.4343246889,False,False,True,True,True,0.1213592233,0.2459459459,0.3406729396,False,False,True,True,True
18,1,0.06847897917,0.3917258382,0,0,False,False,-0.01280475594,0.006874511018,-0.003750860691,0.003489478491,False,,0.1278287462,0.1528602688,0.09658028841,False,False,True,True,True,0.1,0.1326781327,0.08481329806,False,False,True,True,True
19,1,0.9747606516,0.468057096,1,0,True,False,-0.004732687958,0.01165977493,-0.004248938989,0.0137371365,False,,0.11352657,0.2484766418,0.3004337158,False,False,True,True,True,0.1213592233,0.2260638298,0.2508691209,False,False,True,True,True
20,1,0.2544944882,0.3850076795,0,0,False,False,-0.007533187512,0.005263366736,-0.001079607871,0.001049751649,False,,0.08406819518,0.2060170046,0.1975416502,False,False,True,True,True,0.07943925234,0.1866151866,0.1569144754,False,False,True,True,True
21,0,0.011784398,0.3505190611,0,0,True,True,-0.004109264351,0.001991974423,-0.002712812973,0.003304318059,False,,0.03189703414,0.09501187648,-0.06866103004,False,False,True,True,True,0.04524886878,0.1715374841,-0.02296236254,False,False,True,True,True
22,0,0.01072143763,0.543915689,0,1,True,False,-0.009244149551,0.004927264526,-0.01321399491,0.02392609417,False,,0.07271669575,0.1354679803,0.2066417136,False,False,True,True,True,0.08196721311,0.153942428,0.1641649658,False,False,True,True,True
23,0,0.03381171823,0.4114721715,0,0,True,True,-0.00486870436,0.005350202322,0,0,True,image_dfa_constant_after_relu;native_dfa_constant_after_relu,,,,False,True,True,True,False,,,,False,True,True,True,False
24,0,0.001650864957,0.1950375736,0,0,True,True,-0.005854140036,0.0005734039005,-0.02016352676,0.01925869286,False,,0.118253487,0.1535814826,-0.007054533507,False,False,True,True,True,0.1,0.3906485671,-0.01726116402,False,False,True,True,True
25,1,0.8651891351,0.4114721715,1,0,True,False,-0.006651081145,0.009649259038,0,0,True,image_dfa_constant_after_relu;native_dfa_constant_after_relu,,,,False,True,True,True,False,,,,False,True,True,True,False
26,1,0.9999947548,0.7695388198,1,1,True,True,-0.004695906304,0.02228396758,-0.003036770737,0.004221661016,False,,0.08343125734,0.1805377721,0.2374485064,False,False,True,True,True,0.08196721311,0.1730279898,0.1702372093,False,False,True,True,True
27,0,0.004757859278,0.2479728609,0,0,True,True,-0.004826910794,0.002731808927,-0.005568888038,0.006546133198,False,,0.02104097453,0.08247725271,-0.09619182276,False,False,True,True,True,0.03125,0.08983451537,-0.04532569227,False,False,True,True,True
28,1,1,0.7339197993,1,1,True,True,-0.008193645626,0.0224243775,-0.004372470081,0.00639107218,False,,0.05491990847,0.101224246,0.02960860584,False,False,True,True,True,0.04054054054,0.08983451537,0.007964706338,False,False,True,True,True
29,1,0.9429600835,0.4768866897,1,0,True,False,-0.002633510623,0.007000251208,-0.002608929295,0.002874076366,False,,0.07022634939,0.1299019608,0.02643267524,False,False,True,True,True,0.06944444444,0.1271393643,0.03169373134,False,False,True,True,True
30,1,0.9985671043,0.4105305374,1,0,True,False,-0.0033135782,0.01401515491,-0.001805008156,0.001282784506,False,,0.2425876011,0.3110558123,0.02676023314,False,False,True,True,True,0.2062663185,0.2913165266,0.1263165769,False,False,True,True,True
31,1,0.9965684414,0.4554294944,1,0,True,False,-0.003152584657,0.01004035771,-0.003595998976,0.01046457049,False,,0.09827278142,0.168197656,0.04658000932,False,False,True,True,True,0.1052631579,0.1820512821,0.07229530974,False,False,True,True,True
32,1,0.9510844946,0.467507273,1,0,True,False,-0.004738546908,0.006473056041,-0.007095756475,0.01660072431,False,,0.06282420749,0.1775223499,0.1776416526,False,False,True,True,True,0.08196721311,0.1927554981,0.1642703231,False,False,True,True,True
33,1,0.9953083396,0.4247179627,1,0,True,False,-0.00309379166,0.01082517859,-0.004440299235,0.01416556444,False,,0.1989596879,0.2179656539,0.2982706543,False,False,True,True,True,0.1464019851,0.2068062827,0.2383174631,False,False,True,True,True
34,1,0.9975758195,0.6699811816,1,1,True,True,-0.005690955557,0.01019534841,-0.003705802606,0.007686679251,False,,0.1022115959,0.2036553525,0.1203117757,False,False,True,True,True,0.07943925234,0.1866151866,0.1236965191,False,False,True,True,True
35,1,0.9031512737,0.4114721715,1,0,True,False,-0.01164772082,0.01692691632,0,0,True,image_dfa_constant_after_relu;native_dfa_constant_after_relu,,,,False,True,True,True,False,,,,False,True,True,True,False
36,1,0.9992929697,0.4140118062,1,0,True,False,-0.005396337248,0.01329674385,-0.0004792786494,0.0007429705001,False,,0.09241706161,0.2159577976,0.2206337149,False,False,True,True,True,0.08450704225,0.195849546,0.1997303869,False,False,True,True,True
37,0,0.1589070559,0.7140101194,0,1,True,False,-0.004544579424,0.005011891946,-0.004454692826,0.005381059367,False,,0.1055155875,0.1503431067,0.08496208807,False,False,True,True,True,0.0973871734,0.2493224932,0.05436762896,False,False,True,True,True
38,1,0.4297510684,0.3860552311,0,0,False,False,-0.008767370135,0.009207725525,-0.0008795942413,0.000807900622,False,,0.0255839822,0.06898550725,-0.1610359607,False,False,True,True,True,0.01986754967,0.07710280374,-0.09423564817,False,False,True,True,True
39,1,0.004141094629,0.6651532054,0,1,False,True,-0.01667215116,0.004455964547,-0.004571998026,0.005741111934,False,,0.1141993958,0.1892937762,0.1992819321,False,False,True,True,True,0.1052631579,0.1912144703,0.1193999376,False,False,True,True,True
40,1,0.9999953508,0.6778442264,1,1,True,True,-0.006160004996,0.01748798043,-0.006252621301,0.008033064194,False,,0.03016759777,0.07584597433,-0.1006437684,False,False,True,True,True,0.03587443946,0.07962529274,-0.0395462107,False,False,True,True,True
41,1,0.9993818998,0.4246463776,1,0,True,False,-0.004862458445,0.01087778155,-0.0005408322904,0.0009067405481,False,,0.1088394468,0.1630400505,0.1390035411,False,False,True,True,True,0.1052631579,0.1656131479,0.1321686809,False,False,True,True,True
42,0,0.001337548834,0.2830432057,0,0,True,True,-0.004956127144,0.0005827178247,-0.01946474053,0.0232623294,False,,0.07271669575,0.1756455212,0.02812342749,False,False,True,True,True,0.07441860465,0.1730279898,-0.01097042422,False,False,True,True,True
43,0,0.0007147954311,0.1655647308,0,0,True,True,-0.005222883541,-0.0003749478783,-0.02552768402,0.02182504535,True,image_bp_constant_after_relu;native_bp_constant_after_relu,,,,True,False,True,True,False,,,,True,False,True,True,False
44,1,0.9928849339,0.4208863676,1,0,True,False,-0.004374542274,0.01225004159,-0.0004563296097,0.001968132798,False,,0.1196114147,0.2147562582,0.2130709262,False,False,True,True,True,0.115942029,0.1989596879,0.191029424,False,False,True,True,True
45,0,0.01193183102,0.433637768,0,0,True,True,-0.008877754211,0.003950814717,-0.003923207056,0.00750682177,False,,0.1088394468,0.1368680641,0.1430941491,False,False,True,True,True,0.08196721311,0.1368680641,0.09341114557,False,False,True,True,True
46,1,0.05989544839,0.4343433082,0,0,False,False,-0.009446320124,0.005169362761,-0.002412305679,0.005425013602,False,,0.07022634939,0.1771465049,0.1005792186,False,False,True,True,True,0.06944444444,0.1715374841,0.06350774653,False,False,True,True,True
47,1,0.9999973774,0.4122074246,1,0,True,False,-0.005103768781,0.02116139606,-0.0003768724564,0.0005457444349,False,,0.1128545564,0.157564344,0.07290596755,False,False,True,True,True,0.1052631579,0.1656131479,0.09722598429,False,False,True,True,True
48,1,0.05960454047,0.4003615081,0,0,False,False,-0.007690949365,0.008324282244,-0.001138359192,0.0009445039905,False,,0.1319828115,0.1873792659,0.1246146136,False,False,True,True,True,0.1379310345,0.1805377721,0.1029136393,False,False,True,True,True
49,1,1,0.8056432605,1,1,True,True,-0.008350998163,0.020982299,-0.006169762462,0.0119432183,False,,0.0447592068,0.08566382102,-0.01549403253,False,False,True,True,True,0.04761904762,0.08343125734,-0.03075956313,False,False,True,True,True
50,1,0.9998650551,0.6457126737,1,1,True,True,-0.003580035176,0.0144072827,-0.004420787096,0.009192209691,False,,0.02901785714,0.1489096573,0.2267445968,False,False,True,True,True,0.04288939052,0.1510611735,0.217713183,False,False,True,True,True
51,1,0.9999217987,0.7209184766,1,1,True,True,-0.007329767104,0.01398555562,-0.003353453474,0.002267240081,False,,0.06037952846,0.1121833534,0.009569876237,False,False,True,True,True,0.06697459584,0.1162227603,0.03237072206,False,False,True,True,True
52,1,0.9981454611,0.4215141237,1,0,True,False,-0.005795245059,0.01048373431,-0.0004666685418,0.0008746458916,False,,0.05552375501,0.2056227525,0.1675721529,False,False,True,True,True,0.05239179954,0.2068062827,0.1756340746,False,False,True,True,True
53,1,0.9464033842,0.423612386,1,0,True,False,-0.003055687062,0.009984382428,-0.00191377895,0.004500046838,False,,0.04239683437,0.1141993958,0.04963742398,False,False,True,True,True,0.04761904762,0.1368680641,0.07004723789,False,False,True,True,True
54,0,0.7206984162,0.6198331714,1,1,False,False,-0.01111789979,0.01521382201,-0.003842225764,0.007104132324,False,,0.07084785134,0.118253487,-0.205811236,False,False,True,True,True,0.07692307692,0.1081730769,-0.1804393617,False,False,True,True,True
55,1,0.9982146025,0.8126150966,1,1,True,True,-0.008474048227,0.01235167403,-0.004164744169,0.006916020997,False,,0.08662345315,0.1410891089,-0.014168254,False,False,True,True,True,0.07192575406,0.1216545012,-0.04528088272,False,False,True,True,True
56,1,0.9680686593,0.4114721715,1,0,True,False,-0.005337627605,0.009026323445,0,0,True,image_dfa_constant_after_relu;native_dfa_constant_after_relu,,,,False,True,True,True,False,,,,False,True,True,True,False
57,1,0.9923331738,0.4627356529,1,0,True,False,-0.006396689452,0.01013425924,-0.002010075143,0.003949435428,False,,0.153942428,0.1877616747,-0.05719775991,False,False,True,True,True,0.1295843521,0.1775223499,-0.01552371472,False,False,True,True,True
58,0,0.1227521375,0.2456427217,0,0,True,True,-0.002425707877,0.004260649905,-0.01107163914,0.01264902204,False,,0.1002386635,0.200130166,0.2205198642,False,False,True,True,True,0.08196721311,0.1850899743,0.1208146102,False,False,True,True,True
59,0,0.0003075140121,0.4800223708,0,0,True,True,-0.0141502386,0.001434001839,-0.006399670616,0.01779348031,False,,0.022172949,0.08758478325,-0.01892043097,False,False,True,True,True,0.05479452055,0.09371293001,0.02351383118,False,False,True,True,True
60,1,0.9999588728,0.6100084186,1,1,True,True,-0.007390464656,0.01522175688,-0.004672051407,0.0111218188,False,,0.06343713956,0.1038611194,0.07632885686,False,False,True,True,True,0.05239179954,0.1081730769,0.04367025802,False,False,True,True,True
61,1,0.04232718423,0.3034901619,0,0,False,False,-0.005755763035,0.01094992459,-0.005069041159,0.005709163845,False,,0.1115129596,0.1797824696,0.1632038239,False,False,True,True,True,0.1105769231,0.1775223499,0.1558671542,False,False,True,True,True
62,0,0.002775490284,0.2346012294,0,0,True,True,-0.005382291507,0.00109375082,-0.01897367463,0.01836925931,False,,0.09177027827,0.161209068,-0.002115750368,False,False,True,True,True,0.07192575406,0.1943005181,0.01011703195,False,False,True,True,True
63,1,1,0.814257741,1,1,True,True,-0.006816248409,0.01978081092,-0.005331272259,0.007110721432,False,,0.01878453039,0.07178145888,0.1833023651,False,False,True,True,True,0.02212389381,0.07584597433,0.1643152378,False,False,True,True,True
64,0,0.00517331576,0.2867919505,0,0,True,True,-0.004819984082,0.001411687932,-0.01188344508,0.01364604011,False,,0.01430143014,0.1105088829,-0.02293987183,False,False,True,True,True,0.04288939052,0.1312883436,0.005964116446,False,False,True,True,True
65,1,0.789221704,0.395922035,1,0,True,False,-0.002797646914,0.004562153481,-0.007357879076,0.007170344703,False,,0.04063205418,0.1889103804,0.2134844774,False,False,True,True,True,0.06697459584,0.1775223499,0.1552914281,False,False,True,True,True
66,1,0.9999778271,0.6879598498,1,1,True,True,-0.007161812857,0.0146644339,-0.002094781259,0.003668169957,False,,0.03537338574,0.1456974216,0.2495052658,False,False,True,True,True,0.02212389381,0.1525,0.237376656,False,False,True,True,True
67,0,0.9920610189,0.6195113659,1,1,False,False,-0.004073044751,0.008852555417,-0.00750197703,0.02242187411,False,,0.09631391201,0.1923698674,0.09121995606,False,False,True,True,True,0.1,0.1805377721,0.0739149206,False,False,True,True,True
68,1,0.9999074936,0.3937427104,1,0,True,False,-0.004026792012,0.01121871825,-0.001249457244,0.00130555802,False,,0.120291616,0.234270415,-0.03743905089,False,False,True,True,True,0.115942029,0.2392473118,0.06469613958,False,False,True,True,True
69,1,0.05257148296,0.412537992,0,0,False,False,-0.006565596908,0.00453585526,-0.0003948519006,0.0004215572262,False,,0.04239683437,0.1305947272,0.1318770039,False,False,True,True,True,0.04761904762,0.1121833534,0.07880178517,False,False,True,True,True
70,1,0.9728423953,0.7190598249,1,1,True,True,-0.007664859761,0.009859710932,-0.005459954496,0.007816686295,False,,0.147479776,0.2595628415,0.213509348,False,False,True,True,True,0.1105769231,0.2195767196,0.1603003298,False,False,True,True,True
71,0,0.07732716203,0.4114721715,0,0,True,True,-0.005949857645,0.006968444213,0,0,True,image_dfa_constant_after_relu;native_dfa_constant_after_relu,,,,False,True,True,True,False,,,,False,True,True,True,False
72,0,0.04308197647,0.3958460987,0,0,True,True,-0.005873630289,0.006222076714,-0.002524144715,0.002183453413,False,,0.03887323944,0.08374963268,-0.04552884005,False,False,True,True,True,0.04524886878,0.09241706161,-0.06180448187,False,False,True,True,True
73,0,8.662511391e-05,0.4012697637,0,0,True,True,-0.01150175277,0.0003048910003,-0.00130620366,0.00176707888,False,,0.08919078559,0.1365177196,-0.006200434466,False,False,True,True,True,0.1,0.1230207065,-0.01954483296,False,False,True,True,True
74,1,0.8860791326,0.3864011168,1,0,True,False,-0.00580480881,0.008399475366,-0.001616586233,0.001346531208,False,,0.1095066185,0.1722822632,0.07328505713,False,False,True,True,True,0.113253012,0.1912144703,0.09946258069,False,False,True,True,True
75,1,0.997380197,0.4526901841,1,0,True,False,-0.003699790221,0.01214800589,-0.002292305697,0.00724461861,False,,0.03945885006,0.1172372008,0.01377953404,False,False,True,True,True,0.04288939052,0.1189320388,0.02488794699,False,False,True,True,True
76,1,0.9999467134,0.7598282695,1,1,True,True,-0.009289981797,0.01522393525,-0.005102474708,0.01132638566,False,,0.05251141553,0.1478369125,0.2617752631,False,False,True,True,True,0.03820224719,0.1425030979,0.2547014,False,False,True,True,True
77,1,0.6895865798,0.4213188589,1,0,True,False,-0.01502454653,0.01282411814,-0.002064707456,0.002361562569,False,,0.0154185022,0.06007473412,-0.04545523331,False,False,True,True,True,0.01094091904,0.06960556845,-0.0264090351,False,False,True,True,True
78,1,1,0.6630585194,1,1,True,True,-0.007855037227,0.03133515269,-0.003424734343,0.004716928117,False,,0.07271669575,0.1361675909,0.2203466836,False,False,True,True,True,0.07192575406,0.1453416149,0.1911559652,False,False,True,True,True
79,1,0.8846052289,0.7197418213,1,1,True,True,-0.00699542556,0.007315564901,-0.005274166353,0.01521037053,False,,0.03712035996,0.1111780657,-0.06863085133,False,False,True,True,True,0.02666666667,0.1015531661,-0.06891061382,False,False,True,True,True
80,1,0.9764451385,0.6185376048,1,1,True,True,-0.003903240664,0.009077256545,-0.007488982752,0.01372728497,False,,0.06528018486,0.1240475465,0.06961930031,False,False,True,True,True,0.07943925234,0.1285189718,0.07959162393,False,False,True,True,True
81,0,0.01030606776,0.2366566956,0,0,True,True,-0.001377940527,7.15509741e-05,-0.01687390544,0.01600237191,False,,0.153942428,0.1741483604,0.3210711942,False,False,True,True,True,0.07192575406,0.3171428571,0.2562749704,False,False,True,True,True
82,1,0.0003356757516,0.2681698501,0,0,False,False,-0.008133295923,0.006690428592,-0.01064481214,0.01283119246,False,,0.0447592068,0.1460534493,0.02891168867,False,False,True,True,True,0.05239179954,0.2409152086,0.05026152001,False,False,True,True,True
83,1,0.9475779533,0.4010901153,1,0,True,False,-0.00636518281,0.009720079601,-0.001905632904,0.002833279781,False,,0.1299019608,0.2119618797,0.1107546658,False,False,True,True,True,0.1213592233,0.2163588391,0.1293519987,False,False,True,True,True
84,1,0.9999938011,0.6972091198,1,1,True,True,-0.00741780689,0.01690636948,-0.004600969143,0.005432084668,False,,0.1382716049,0.177898435,0.06861082577,False,False,True,True,True,0.1,0.1641414141,0.04982985288,False,False,True,True,True
85,1,0.6261033416,0.6417158842,1,1,True,True,-0.008203655481,0.007608906366,-0.003245793749,0.006015096325,False,,0.07271669575,0.08215962441,0.04085414081,False,False,True,True,True,0.05,0.07209302326,0.02503425013,False,False,True,True,True
86,1,0.2451331764,0.3749935925,0,0,False,False,-0.006564440206,0.009293116629,-0.0008898349479,0.0007342624594,False,,0.1496259352,0.1873792659,0.07970198884,False,False,True,True,True,0.1379310345,0.1974025974,0.1461593443,False,False,True,True,True
87,0,0.08450679481,0.6297189593,0,1,True,False,-0.007697353605,0.004791625775,-0.01122269966,0.02886278555,False,,0.02672605791,0.07741747006,-0.07989516644,False,False,True,True,True,0.0243902439,0.07584597433,-0.04911266005,False,False,True,True,True
88,1,0.9879728556,0.5994756818,1,1,True,True,-0.007029024884,0.009803785942,-0.004063376226,0.006439314689,False,,0.08598351001,0.1722822632,0.1578970163,False,False,True,True,True,0.0973871734,0.1805377721,0.1155766639,False,False,True,True,True
89,1,1,0.6626216769,1,1,True,True,-0.007770680822,0.02428216115,-0.003980199806,0.005799771752,False,,0.03305322129,0.08662345315,-0.02339742369,False,False,True,True,True,0.03125,0.0783625731,-0.03527344875,False,False,True,True,True
90,1,0.9999297857,0.6734952331,1,1,True,True,-0.007180760615,0.01516414154,-0.003580753691,0.006399929523,False,,0.03479236813,0.1032007179,0.3300035175,False,False,True,True,True,0.05720823799,0.1081730769,0.2885660491,False,False,True,True,True
91,1,0.8907625079,0.5692329407,1,1,True,True,-0.00544515159,0.01799320802,-0.008323276415,0.03378670663,False,,0.05977011494,0.1503431067,0.04299686742,False,False,True,True,True,0.05,0.1481942715,-0.04084842808,False,False,True,True,True
92,1,0.1360395402,0.4114721715,0,0,False,False,-0.01159476489,0.00883654505,0,0,True,image_dfa_constant_after_relu;native_dfa_constant_after_relu,,,,False,True,True,True,False,,,,False,True,True,True,False
93,1,0.9657188058,0.4189103544,1,0,True,False,-0.003968512639,0.007371915504,-0.0007829461247,0.002602738328,False,,0.08726415094,0.1715374841,0.1548745019,False,False,True,True,True,0.07943925234,0.1730279898,0.1042247131,False,False,True,True,True
94,0,0.01082140394,0.2316152155,0,0,True,True,-0.001349827973,3.914404078e-05,-0.01721549779,0.01655375212,False,,0.1561128527,0.1663504111,0.2979757914,False,False,True,True,True,0.06944444444,0.2561307902,0.2401789391,False,False,True,True,True
95,1,0.9998175502,0.5984459519,1,1,True,True,-0.004346730188,0.01109259017,-0.003477391321,0.007975596935,False,,0.1285189718,0.2630136986,0.5300172382,False,False,True,True,True,0.1268292683,0.2682255846,0.4752083489,False,False,True,True,True
96,1,0.8251279593,0.3650679588,1,0,True,False,-0.005842826329,0.012354251,-0.002726684324,0.002826631768,False,,0.1008955224,0.1719097553,0.09531971069,False,False,True,True,True,0.09478672986,0.1805377721,0.08684449513,False,False,True,True,True
97,1,0.2341278195,0.3711624742,0,0,False,False,-0.006185777951,0.008386053145,-0.00130933465,0.001027302118,False,,0.1237050579,0.1700507614,0.1134692704,False,False,True,True,True,0.1213592233,0.1775223499,0.1272617792,False,False,True,True,True
98,1,0.9999899864,0.5446347594,1,1,True,True,-0.005712908227,0.01559174992,-0.003858587239,0.006824267097,False,,0.05612829324,0.1344201784,0.1922033619,False,False,True,True,True,0.06451612903,0.1382716049,0.1473358816,False,False,True,True,True
99,0,0.029593274,0.316930294,0,0,True,True,-0.007769834716,0.004390961025,-0.01769814827,0.01145364251,False,,0.04832291074,0.1061787642,0.002653582465,False,False,True,True,True,0.06206896552,0.1230207065,0.01975799829,False,False,True,True,True
100,1,0.9924435019,0.722632587,1,1,True,True,-0.004059172235,0.00896214135,-0.004821885377,0.008119575679,False,,0.08790560472,0.162306965,0.2305090971,False,False,True,True,True,0.08196721311,0.153942428,0.1838588541,False,False,True,True,True
101,0,0.06479091197,0.4114721715,0,0,True,True,-0.00625665579,0.005645384081,0,0,True,image_dfa_constant_after_relu;native_dfa_constant_after_relu,,,,False,True,True,True,False,,,,False,True,True,True,False
102,1,0.9439980388,0.6392189264,1,1,True,True,-0.007045413833,0.01177062932,-0.006496225018,0.01893687621,False,,0.07209302326,0.1323303654,0.0282991799,False,False,True,True,True,0.07692307692,0.1396786156,0.02854479743,False,False,True,True,True
103,0,0.02311689034,0.4363617003,0,0,True,True,-0.01006428897,0.006001426838,-0.003794387449,0.009646853432,False,,0.07209302326,0.1118480555,0.02534142553,False,False,True,True,True,0.06944444444,0.1820512821,0.05480289668,False,False,True,True,True
104,1,0.9999998808,0.7709925771,1,1,True,True,-0.007187686861,0.01807462052,-0.0055855643,0.01074089482,False,,0.04832291074,0.1503431067,0.1478681367,False,False,True,True,True,0.03820224719,0.1340713407,0.1197984779,False,False,True,True,True
105,0,0.001019913354,0.3192905188,0,0,True,True,-0.004303711001,0.0004938447382,-0.003468501149,0.00390206906,False,,0.04416761042,0.1831889637,-0.07442735954,False,False,True,True,True,0.08450704225,0.3401162791,-0.04624529182,False,False,True,True,True
106,1,0.9921181798,0.6254026294,1,1,True,True,-0.003869754728,0.01497672498,-0.004536391236,0.008694029413,False,,0.05071225071,0.1330261137,0.005619903797,False,False,True,True,True,0.05239179954,0.1285189718,0.03959944039,False,False,True,True,True
107,0,0.007195893209,0.3096494079,0,0,True,True,-0.003282279009,0.0001477504848,-0.002136396477,0.00342970388,False,,0.1121833534,0.1912144703,0.09770593962,False,False,True,True,True,0.0973871734,0.3209169054,0.06046115486,False,False,True,True,True
108,0,0.04518599436,0.2921274602,0,0,True,True,-0.003540063277,0.003262062557,-0.01872017607,0.01389214862,False,,0.0418079096,0.1247331504,0.09047516592,False,False,True,True,True,0.05,0.1189320388,0.07358532803,False,False,True,True,True
109,1,1,0.8088297844,1,1,True,True,-0.006472206675,0.024925448,-0.005867319647,0.008565241471,False,,0.03189703414,0.1101745936,0.01110181405,False,False,True,True,True,0.04524886878,0.1189320388,0.01823502998,False,False,True,True,True
110,1,0.9911475778,0.4384086728,1,0,True,False,-0.003288789652,0.01162140351,-0.004169875756,0.009545763955,False,,0.1410891089,0.2079921389,0.2744304106,False,False,True,True,True,0.1295843521,0.2005208333,0.2267424892,False,False,True,True,True
111,1,0.9999599457,0.768422246,1,1,True,True,-0.004689043388,0.01566703804,-0.002803178271,0.00378826214,False,,0.06712962963,0.2040483186,0.4692796309,False,False,True,True,True,0.05239179954,0.1775223499,0.4226314764,False,False,True,True,True
112,1,0.9956383109,0.5336714983,1,1,True,True,-0.006358996965,0.01248705294,-0.006451794878,0.01179935038,False,,0.08790560472,0.2488994243,0.2202664995,False,False,True,True,True,0.08962264151,0.2425876011,0.2174237577,False,False,True,True,True
